time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
1420.0,3.9846487092478093,3.9846487092478093,3.9846487092478093,3.9846487092478093,False,False,False,7.47e-05,0.4592201727832632,3.9062975006853944,33.49438527712903,chen2020_dfn
1425.0,3.9848125802519485,3.9848125802519485,3.9848125802519485,3.9848125802519485,False,False,False,7.36e-05,0.46032706516666644,3.907340365576344,33.49432093753171,chen2020_dfn
1430.0,3.9849653101369173,3.9849653101369173,3.9849653101369173,3.9849653101369173,False,False,False,7.43e-05,0.46143399997503787,3.908381542910326,33.494260709733,chen2020_dfn
1435.0,3.9851059201213417,3.9851059201213417,3.9851059201213417,3.9851059201213417,False,False,False,7.91e-05,0.4625409738417382,3.9094210177091187,33.49420483948097,chen2020_dfn
1440.0,3.9852333787064635,3.9852333787064635,3.9852333787064635,3.9852333787064635,False,False,False,7.42e-05,0.4636479831136011,3.910458767537567,33.49415356548059,chen2020_dfn
1445.0,3.98534660860748,3.98534660860748,3.98534660860748,3.98534660860748,False,False,False,7.400000000000001e-05,0.4647550238382143,3.9114948391987694,33.49410668089479,chen2020_dfn
1450.0,3.985457740613819,3.985457740613819,3.985457740613819,3.985457740613819,False,False,False,7.94e-05,0.4658620954328293,3.912529387363789,33.49406502352133,chen2020_dfn
1455.0,3.985540860280758,3.985540860280758,3.985540860280758,3.985540860280758,False,False,False,0.000171,0.4669691901162406,3.9135618858311245,33.4940285599352,chen2020_dfn
1460.0,3.9856134255867257,3.9856134255867257,3.9856134255867257,3.9856134255867257,False,False,False,8.89e-05,0.4680763049566814,3.9145926459281415,33.49399764017011,chen2020_dfn
1465.0,3.9856609551374134,3.9856609551374134,3.9856609551374134,3.9856609551374134,False,False,False,7.42e-05,0.46918343299977505,3.915621345942516,33.49397231316368,chen2020_dfn
1470.0,3.9856923303010334,3.9856923303010334,3.9856923303010334,3.9856923303010334,False,False,False,8.09e-05,0.47029056975819206,3.9166481173742334,33.49395282574221,chen2020_dfn
1475.0,3.9856991694105126,3.9856991694105126,3.9856991694105126,3.9856991694105126,False,False,False,7.670000000000001e-05,0.47139770841636164,3.9176727483865865,33.49393925163628,chen2020_dfn
1480.0,3.9856857836460122,3.9856857836460122,3.9856857836460122,3.9856857836460122,False,False,False,7.43e-05,0.4725048433562633,3.918695272529569,33.49393176162795,chen2020_dfn
