initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
paper_ic_059,hammersley,0.143125,0.021093749999999998,0.02222222222222222,25.8064,5.947521865889213,True,True,True,Optimization terminated successfully,6.369335680902771,0.8010577000022749,-3.780940005526645e-10
paper_ic_060,hammersley,0.1438497899159664,0.06609374999999999,0.052222222222222225,27.4864,7.376093294460641,True,True,True,Optimization terminated successfully,6.624319087814732,0.8460742999996,-2.0791190991076292e-10
paper_ic_061,hammersley,0.14457457983193278,0.04359375,0.08222222222222221,29.1664,8.804664723032069,True,True,True,Optimization terminated successfully,6.884490818582706,0.6155075999995461,-6.674270025541773e-10
paper_ic_062,hammersley,0.14529936974789917,0.08859375,0.005555555555555555,30.8464,0.43731778425655976,True,True,True,Optimization terminated successfully,7.0229957245265275,0.8915491000007023,-1.4210144172466244e-10
paper_ic_063,hammersley,0.14602415966386556,0.000703125,0.035555555555555556,32.526399999999995,1.865889212827988,True,True,True,Optimization terminated successfully,7.298375492461786,0.8624928999997792,-7.590014661218447e-08
paper_ic_064,hammersley,0.14674894957983192,0.045703125,0.06555555555555556,26.1424,3.2944606413994166,True,True,True,Optimization terminated successfully,6.431827419843798,0.925496200001362,-2.2524716314364923e-08
paper_ic_065,hammersley,0.14747373949579834,0.023203124999999998,0.015555555555555553,27.8224,4.723032069970845,True,True,True,Optimization terminated successfully,6.504338114049687,0.7987916999991285,-1.7510330962977605e-09
paper_ic_066,hammersley,0.1481985294117647,0.068203125,0.04555555555555556,29.5024,6.151603498542274,True,True,True,Optimization terminated successfully,6.7822890602315145,0.8409401000026264,-1.3364598316911724e-10
paper_ic_067,hammersley,0.1489233193277311,0.011953125,0.07555555555555554,31.1824,7.580174927113702,True,True,True,Optimization terminated successfully,7.066873011041396,0.3979134000001068,-3.395825842744671e-09
paper_ic_068,hammersley,0.14964810924369748,0.056953125,0.025555555555555554,32.8624,9.008746355685131,True,True,True,Optimization terminated successfully,7.266990716482879,0.7787776000004669,-6.672706831523101e-11
paper_ic_069,hammersley,0.15037289915966387,0.034453125,0.05555555555555555,26.4784,0.641399416909621,True,True,True,Optimization terminated successfully,6.42839854633652,1.066036999996868,-7.128022616598173e-10
paper_ic_070,hammersley,0.15109768907563026,0.079453125,0.08555555555555554,28.1584,2.0699708454810493,True,True,True,Optimization terminated successfully,6.628033231534831,0.9491595999970741,-1.3709140489481797e-09
paper_ic_071,hammersley,0.15182247899159665,0.0063281249999999995,0.008888888888888889,29.8384,3.498542274052478,True,True,True,Optimization terminated successfully,6.664282019624765,1.0489481000004162,-1.0617924317557481e-09
paper_ic_072,hammersley,0.15254726890756304,0.051328124999999995,0.03888888888888888,31.5184,4.927113702623906,True,True,True,Optimization terminated successfully,6.974648397686263,0.845551999998861,-3.419273753024754e-10
paper_ic_073,hammersley,0.15327205882352943,0.028828125,0.06888888888888889,33.1984,6.355685131195335,True,True,True,Optimization terminated successfully,7.3213298159123035,0.8847289000004821,-1.8957123870677606e-08
paper_ic_074,hammersley,0.15399684873949582,0.073828125,0.018888888888888886,25.2016,7.784256559766762,True,True,True,Optimization terminated successfully,6.064786485061688,0.759768100000656,-4.422152954930425e-08
paper_ic_075,hammersley,0.15472163865546218,0.017578125,0.048888888888888885,26.8816,9.21282798833819,True,True,True,Optimization terminated successfully,6.2836529820510805,0.6447544000002381,-8.514717819707585e-10
paper_ic_076,hammersley,0.1554464285714286,0.062578125,0.07888888888888888,28.5616,0.8454810495626821,True,True,True,Optimization terminated successfully,6.586985810660665,0.8956561999984842,-5.862190732841555e-10
paper_ic_077,hammersley,0.15617121848739496,0.040078125,0.028888888888888888,30.2416,2.2740524781341103,True,True,True,Optimization terminated successfully,6.6797050393517186,0.9701246000004176,-9.327152383775683e-10
paper_ic_078,hammersley,0.15689600840336135,0.08507812499999999,0.058888888888888886,31.921599999999998,3.702623906705539,True,True,True,Optimization terminated successfully,6.989836857077362,0.8531136999990849,-2.261657527924399e-11
paper_ic_079,hammersley,0.15762079831932774,0.0035156249999999997,0.08888888888888888,25.5376,5.131195335276968,True,True,True,Optimization terminated successfully,6.140949748731215,0.8201001999987056,-1.4905126022313198e-09
paper_ic_080,hammersley,0.15834558823529413,0.048515625,0.0003703703703703703,27.2176,6.559766763848396,True,True,True,Optimization terminated successfully,6.156357676208584,0.8828777000016998,-6.336861702038732e-09
paper_ic_081,hammersley,0.15907037815126052,0.026015625,0.030370370370370367,28.8976,7.988338192419824,True,True,True,Optimization terminated successfully,6.407114133536476,0.6578623999994306,-9.47856904076616e-10
paper_ic_082,hammersley,0.1597951680672269,0.071015625,0.060370370370370366,30.5776,9.416909620991254,True,True,True,Optimization terminated successfully,6.704865900340672,0.6057307999981276,-7.105427357601002e-13
paper_ic_083,hammersley,0.1605199579831933,0.014765625,0.010370370370370368,32.2576,1.0495626822157433,True,True,True,Optimization terminated successfully,6.872357901697129,0.9355099000022165,-7.060663165248116e-11
