profile_name,variant,temperature_c,initial_soc,c_rate,holdout_soc,horizon_s,voltage_rmse_mv,voltage_maximum_absolute_error_mv,temperature_rmse_c,temperature_maximum_absolute_error_c,true_voltage_feasible,predicted_voltage_feasible,voltage_classification,true_temperature_feasible,predicted_temperature_feasible,temperature_classification
t15_soc0.80_c2,fixed_2rc_dual,15.0,0.8,2.0,False,300.0,89.14356131317247,184.39463307850357,1.7449048653914545,2.8832217507469196,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,related_2rc_dual,15.0,0.8,2.0,False,5.0,18.129537413826228,23.76860382676238,0.0050243082093252575,0.007105444811170258,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,related_2rc_dual,15.0,0.8,2.0,False,25.0,24.54702400727163,30.316699027010507,0.14174829504504202,0.2618710708943013,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,related_2rc_dual,15.0,0.8,2.0,False,300.0,53.442152125308965,101.35564591126834,5.148335176599434,9.36694539461515,False,False,true_infeasible,True,False,false_conservative
t15_soc0.80_c2,related_2rc_single,15.0,0.8,2.0,False,5.0,18.129537413826228,23.76860382676238,0.0034066955612767798,0.004817795065633845,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,related_2rc_single,15.0,0.8,2.0,False,25.0,24.54702400727163,30.316699027010507,0.13385601477148001,0.2483914684519064,False,False,true_infeasible,True,True,true_feasible
t15_soc0.80_c2,related_2rc_single,15.0,0.8,2.0,False,300.0,53.442152125308965,101.35564591126834,5.078625553954271,9.272770143983493,False,False,true_infeasible,True,False,false_conservative
t25_soc0.60_c0.5,fixed_2rc_dual,25.0,0.6,0.5,False,5.0,14.980981922794484,15.051663562370088,0.007132412817455624,0.010086754938889442,True,True,true_feasible,True,True,true_feasible
t25_soc0.60_c0.5,fixed_2rc_dual,25.0,0.6,0.5,False,25.0,14.586743146944315,15.051663562370088,0.02812427850431586,0.04547650483678112,True,True,true_feasible,True,True,true_feasible
t25_soc0.60_c0.5,fixed_2rc_dual,25.0,0.6,0.5,False,300.0,11.27977736826717,15.051663562370088,0.20488612001466242,0.2981297293468792,True,True,true_feasible,True,True,true_feasible
t25_soc0.60_c0.5,related_2rc_dual,25.0,0.6,0.5,False,5.0,14.906163094174838,15.659955311499996,0.0030977815573274676,0.004380924691641752,True,True,true_feasible,True,True,true_feasible
