trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason,mean_solve_time_s,maximum_solve_time_s
phase6r_ic_0201,validation,True,8,,0.2180299874999036,0.7381523000003654
phase6r_ic_0202,validation,True,8,,0.2264470749996689,0.5610601999978826
phase6r_ic_0203,validation,True,8,,0.1769562125004995,0.582682800002658
phase6r_ic_0204,train,True,8,,0.1781926124999699,0.4534611999988556
phase6r_ic_0205,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.6040562000016507,0.6040562000016507
phase6r_ic_0206,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.3234878000002936,0.3234878000002936
phase6r_ic_0207,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.0996086000013747,0.0996086000013747
phase6r_ic_0208,train,True,8,,0.2536679999993794,0.9450644999997166
phase6r_ic_0209,train,True,8,,0.2717040750007982,0.8568316000018967
phase6r_ic_0210,validation,True,8,,0.2736112749998938,1.2033166000001074
phase6r_ic_0211,train,True,8,,0.1590285874999608,0.7403645000013057
phase6r_ic_0212,train,True,8,,0.2063222500000847,0.6709940999971877
phase6r_ic_0213,train,True,8,,0.1842727875000491,0.8729305999986536
phase6r_ic_0214,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.7836535999995249,0.7836535999995249
phase6r_ic_0215,validation,True,8,,0.1764892624996719,0.5926438999995298
phase6r_ic_0216,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.6720583999995142,0.6720583999995142
phase6r_ic_0217,test,False,0,fallback_after_8: Positive directional derivative for linesearch,0.984006099999533,0.984006099999533
phase6r_ic_0218,validation,False,0,fallback_after_8: Positive directional derivative for linesearch,1.4079907999985153,1.4079907999985153
phase6r_ic_0219,train,True,8,,0.2794207250003637,1.1100035999988904
phase6r_ic_0220,test,True,8,,0.3308496500003457,0.7866881000009016
phase6r_ic_0221,train,True,8,,0.1964877750001505,0.8611072999992757
phase6r_ic_0222,test,True,8,,0.3239741625002352,0.5352603999999701
phase6r_ic_0223,train,True,8,,0.1638826124999468,0.7491726000007475
phase6r_ic_0224,train,True,8,,0.190861775000485,0.8043573999966611
phase6r_ic_0225,train,True,8,,0.1667140875010773,0.6553735000015877
phase6r_ic_0226,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.9835623999970268,0.9835623999970268
phase6r_ic_0227,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.1770781999985047,0.1770781999985047
phase6r_ic_0228,train,False,0,fallback_after_8: Positive directional derivative for linesearch,1.9669523000011395,1.9669523000011395
phase6r_ic_0229,test,False,0,fallback_after_8: Positive directional derivative for linesearch,0.7262265999997908,0.7262265999997908
phase6r_ic_0230,test,True,8,,0.3437339625006643,1.1675419000021066
phase6r_ic_0231,validation,True,8,,0.2027994499999295,1.1043202000000747
phase6r_ic_0232,train,True,8,,0.4778990625004553,0.7161330999988422
phase6r_ic_0233,train,True,8,,0.1818684000008943,0.9329009000030056
phase6r_ic_0234,train,False,0,fallback_after_8: Positive directional derivative for linesearch,1.533808299998782,1.533808299998782
phase6r_ic_0235,train,False,0,fallback_after_8: Positive directional derivative for linesearch,0.4115196999991894,0.4115196999991894
phase6r_ic_0236,validation,False,0,fallback_after_8: Positive directional derivative for linesearch,0.164703800001007,0.164703800001007
phase6r_ic_0237,train,False,0,fallback_after_8: Positive directional derivative for linesearch,4.217650200000207,4.217650200000207
phase6r_ic_0238,train,False,0,fallback_after_8: Positive directional derivative for linesearch,1.6169059999992896,1.6169059999992896
phase6r_ic_0239,train,False,0,fallback_after_8: Positive directional derivative for linesearch,5.155811799999356,5.155811799999356
