temperature_c,controller_kind,seed,trajectory_id,maximum_voltage_v,maximum_average_temperature_c,maximum_voltage_residual_v,p95_voltage_residual_v,p99_voltage_residual_v,maximum_positive_residual_growth_v,voltage_intervention_fraction,maximum_current_correction_a,mean_active_current_correction_a,first_intervention_soc,minimum_voltage_slew_feasibility_margin_a,empty_interval_count,target_reached,discrete_arrival_time_s,continuous_arrival_time_s,cumulative_charge_ah,direction_reversals,mean_base_decision_time_ms,mean_safety_layer_time_ms
30.0,mpc,-1,phase7c_30c_011,4.1833543272659774,41.71868518648324,0.0036520441593488,0.0035455067753753,0.00364518825117609,0.0069251443138602,0.0,0.0,0.0,,2.0,0,True,1355.0,1352.7814510874648,1.6535573694170176,0,40.76342361589771,0.13208523992147564
30.0,mpc,-1,phase7c_30c_012,4.187223196638818,36.8374123090328,0.0051162933309987,0.005063222677012175,0.005114006405886585,0.0101505636412504,0.0,0.0,0.0,,2.0372967148434737,0,True,1080.0,1077.2820781017551,1.0285686739858917,0,44.1556444439912,0.1509138888245613
30.0,mpc,-1,phase7c_30c_013,4.185976078296768,39.01292195403192,0.0046841525930947,0.00460315023997164,0.00467982096509062,0.0038893048646704,0.0,8.881784197001252e-16,0.0,,2.088656625592836,0,True,1240.0,1235.6661208966127,1.3411045407736932,0,40.32673508053473,0.1376318549802621
30.0,mpc,-1,phase7c_30c_014,4.1879713605984685,34.91676962699921,0.0058675474749518,0.00579827909608699,0.005863790791672814,0.0053978017865627,0.0,1.7763568394002505e-15,0.0,,2.00206877912318,0,True,890.0,886.6101075641661,0.7160837187546528,0,43.50930786546246,0.15097190984035852
30.0,mpc,-1,phase7c_30c_015,4.184795303012712,40.45069521837064,0.0042699818535067,0.00418137437327188,0.0042653336880638685,0.0067112921501575,0.0,0.0,0.0,,2.136873403914718,0,True,1290.0,1289.230146162833,1.497273978131734,0,40.61376124017149,0.13503565894847785
30.0,mpc,-1,phase7c_30c_016,4.187453404819777,35.85438430790674,0.0050884623288842,0.005052692301110965,0.005086874505773714,0.0057613171860833,0.0,0.0,0.0,,2.027276913478873,0,True,990.0,988.9144612191877,0.8722813318739372,0,42.39056969732934,0.14946666693738153
30.0,mpc,-1,phase7c_30c_017,4.186736480754461,37.91464520118575,0.0049832336593951,0.004917532478652045,0.004978816623774684,0.0091571124540923,0.0,0.0,0.0,,2.057354753230963,0,True,1160.0,1155.301058941638,1.184862500743735,0,49.640568534665206,0.1616392240787352
30.0,mpc,-1,phase7c_30c_018,4.182928760409602,42.10807221159519,0.0034686421536447,0.0033557757692462492,0.0034630331365284018,0.0070905401377663,0.0,0.0,0.0,,2.0,0,True,1370.0,1365.59780744739,1.692668533845957,1,59.55713503666571,0.19123357656194384
30.0,mpc,-1,phase7c_30c_019,4.187361695312072,37.16795082762451,0.0051590088963182,0.00510014548422185,0.005155761773539567,0.0037447272259214,0.0,0.0,0.0,,2.0308074332432,0,True,1100.0,1095.4319904410954,1.0676721506494669,0,66.3948804542914,0.20497227266204116
30.0,mpc,-1,phase7c_30c_020,4.185717534524771,39.41957431703679,0.0046093359824155,0.0045257612353079395,0.004605184046868912,0.0061540165706102,0.0,5.3290705182007506e-15,0.0,,2.099016173449731,0,True,1245.0,1244.7816612647707,1.3800735251781011,0,56.07730120525763,0.1809698794046935
30.0,mpc,-1,phase7c_30c_021,4.186903151881407,35.01206175344572,0.0048127595258193,0.0047797039291306,0.00481127249990969,0.0054566162947686,0.0,8.881784197001252e-16,0.0,,2.051070796196621,0,True,930.0,926.0922079711231,0.7551576840488378,0,47.68064462377777,0.16092419360980528
30.0,mpc,-1,phase7c_30c_022,4.184527435269965,40.56681671182042,0.0041039641955489,0.004010325832829969,0.0040986472874241795,0.0080864694799558,0.0,0.0,0.0,,2.14825989805589,0,True,1315.0,1314.6545069751355,1.5363265237731356,0,40.98227338359896,0.1328673003519398
30.0,mpc,-1,phase7c_30c_023,4.1880276176018665,36.25738954651939,0.005252023948512,0.00520726038746012,0.005249549598124284,0.0108453483649526,0.0,0.0,0.0,,2.001269348953399,0,True,1000.0,998.456196509559,0.9113544304301402,0,42.344517500168834,0.14749149988342516
