time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
490.0,4.303026942497613,4.303026942497613,0.2638898528242904,3.7584730368223824,33.3507795131864,33.352395707484305,33.34431473599478,0.2775733999951626,True,True,False,False,phase6r_rolling_mpc_reduced
495.0,4.276665626739929,4.276665626739929,0.26507781549838483,3.7583545643378815,33.365613110084375,33.367226915306205,33.359157889197064,0.1711007000048994,True,True,False,False,phase6r_rolling_mpc_reduced
500.0,4.25042243529995,4.25042243529995,0.2662584883970793,3.7582314239171493,33.37955996052924,33.381171291354086,33.37311463722988,0.2754152999987127,True,True,False,False,phase6r_rolling_mpc_reduced
505.0,4.22476923078819,4.22476923078819,0.26743203540563154,3.7581149096679867,33.39264422098496,33.39425305656073,33.386208878681884,0.10542910000367556,True,True,False,False,phase6r_rolling_mpc_reduced
510.0,4.194770679013656,4.194770679013656,0.26859724948313535,3.7578857840143134,33.40477607941567,33.40638173666301,33.39835345042632,0.3504242000053637,True,True,False,False,phase6r_rolling_mpc_reduced
515.0,4.166477472503617,4.166477472503617,0.2697546043366086,3.7576805037622605,33.41600300808497,33.41760559053067,33.409592678302175,0.34622959999978775,True,True,False,False,phase6r_rolling_mpc_reduced
520.0,4.140476194151649,4.140476194151649,0.2709047366127618,3.7575192359172482,33.42638676981816,33.42798647325814,33.419987956058236,0.3094675000029383,True,True,False,False,phase6r_rolling_mpc_reduced
525.0,4.1173287207412255,4.1173287207412255,0.27204843903518994,3.7574218752575397,33.43600250865338,33.43759961844907,33.42961406947064,0.17363720000139438,True,True,False,False,phase6r_rolling_mpc_reduced
530.0,4.094583879277793,4.094583879277793,0.27318582344610043,3.757335128730041,33.44487055533186,33.44646504996192,33.4384925768116,0.3465317999944091,True,True,False,False,phase6r_rolling_mpc_reduced
535.0,4.067190065222608,4.067190065222608,0.2743155984642178,3.7571352190743887,33.45289739210245,33.45448858782191,33.44653260922461,0.20902229999774136,True,True,False,False,phase6r_rolling_mpc_reduced
540.0,4.039386701895751,4.039386701895751,0.27543765032585554,3.7569128186630123,33.46008211243221,33.461669850115044,33.453731161700865,0.2799529999974766,True,True,False,False,phase6r_rolling_mpc_reduced
545.0,4.015307409086646,4.015307409086646,0.2765530134950463,3.7567688598833904,33.46651548903419,33.46810014565306,33.46017686255868,0.14071910000347998,True,True,False,False,phase6r_rolling_mpc_reduced
550.0,3.992415648716489,3.992415648716489,0.27766201784191197,3.756651717630513,33.472233692774715,33.47381534251281,33.46590709382236,0.34661389999382664,True,True,False,False,phase6r_rolling_mpc_reduced
555.0,3.9739675244874557,3.9739675244874557,0.27876589770982513,3.7566429151841434,33.477344059142816,33.47892319906708,33.471027499445746,0.17636189999757335,True,True,False,False,phase6r_rolling_mpc_reduced
560.0,3.9568396809850745,3.9568396809850745,0.2798650198434321,3.7566761129386093,33.48188663762848,33.483463390851135,33.475579624737854,0.31176699999923585,True,True,False,False,phase6r_rolling_mpc_reduced
565.0,3.932385963573041,3.932385963573041,0.28095734927775795,3.7565409852552434,33.48571319565884,33.48728659128469,33.479419613155436,0.20553349999681814,True,True,False,False,phase6r_rolling_mpc_reduced
570.0,3.905915165692258,3.905915165692258,0.28204232571267246,3.756346425165679,33.48878693290357,33.490356624743754,33.48250816554285,0.3504618000006303,True,True,False,False,phase6r_rolling_mpc_reduced
575.0,3.8857808098786517,3.8857808098786517,0.2831217092709721,3.7562925265990676,33.49124992795653,33.492816609420416,33.48498320210099,0.3501352000021143,True,True,False,False,phase6r_rolling_mpc_reduced
580.0,3.87055661457533,3.87055661457533,0.2841968638861319,3.7563619887564372,33.49321620228263,33.49478042864034,33.48695929685179,0.2779606000040076,True,True,False,False,phase6r_rolling_mpc_reduced
585.0,3.8607065134610563,3.8607065134610563,0.2852692823620933,3.756576836929488,33.49481065274989,33.49637306373654,33.4885610088033,0.1397854000024381,True,True,False,False,phase6r_rolling_mpc_reduced
590.0,3.850952378628446,3.850952378628446,0.28633899135615676,3.7568183835747906,33.496047095033376,33.4976077034673,33.48980466129768,0.2798408000016934,True,True,False,False,phase6r_rolling_mpc_reduced
595.0,3.8463205772784335,3.8463205772784335,0.2874074137387341,3.7572046897422022,33.497043780721214,33.4986032128339,33.490806052270464,0.1419162000020151,True,True,False,False,phase6r_rolling_mpc_reduced
600.0,3.842951451327109,3.842951451327109,0.2884749002529916,3.7576506008678643,33.497838444950126,33.499396877623965,33.49160471425478,0.10366709999652812,True,True,False,False,phase6r_rolling_mpc_reduced
605.0,3.839293395706015,3.839293395706015,0.28954137064068775,3.7581163978408494,33.498434881407725,33.49999229989071,33.492205207475806,0.20958030000474537,True,True,False,False,phase6r_rolling_mpc_reduced
610.0,3.838925507244209,3.838925507244209,0.29060773883714447,3.7586843548346107,33.498910356276475,33.50046717627904,33.49268307626622,0.10470239999995101,True,True,False,False,phase6r_rolling_mpc_reduced
615.0,3.8392407298618774,3.8392407298618774,0.2916741945954394,3.7592958612429404,33.499287899392336,33.500844233503905,33.493062562946065,0.1038129000007757,True,True,False,False,phase6r_rolling_mpc_reduced
620.0,3.840085227447987,3.840085227447987,0.2927408849363972,3.759945037305561,33.49958625675805,33.5011421967226,33.49336249689988,0.0723024000035366,True,True,False,False,phase6r_rolling_mpc_reduced
625.0,3.8401404214567774,3.8401404214567774,0.2938075906090241,3.760597850044004,33.49979563407311,33.50135110811971,33.49357373788672,0.20776219999970635,True,True,False,False,phase6r_rolling_mpc_reduced
630.0,3.840976508995068,3.840976508995068,0.2948745285281894,3.76128802732975,33.49993768037577,33.50149279886688,33.49371720641134,0.10837219999666559,True,True,False,False,phase6r_rolling_mpc_reduced
635.0,3.840976508995068,3.840976508995068,0.2959414664473547,3.7619764118458736,33.5,33.50155467811606,33.49378128753578,0.17103250000218395,True,True,False,False,phase6r_rolling_mpc_reduced
640.0,3.841618755569795,3.841618755569795,0.2970085827683463,3.762695420035789,33.5,33.50155432498264,33.49378270006942,0.14118410000082804,True,True,False,False,phase6r_rolling_mpc_reduced
645.0,3.8450536339891097,3.8450536339891097,0.29807665322223215,3.763498259816964,33.500000000192024,33.50155432517696,33.49378270025227,0.10306799999671057,True,True,False,False,phase6r_rolling_mpc_reduced
