trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,split
global_175,0.54506640625,0.08185185185185184,0.08664000000000001,1.5451895043731778,train
global_176,0.37031640625000006,0.005185185185185185,0.11664000000000001,2.9737609329446064,train
global_177,0.15187890625,0.06518518518518518,0.00384,5.830903790087463,test
global_178,0.50137890625,0.015185185185185184,0.033839999999999995,7.259475218658892,train
global_179,0.32662890625,0.045185185185185175,0.06384000000000001,8.688046647230319,train
global_180,0.67612890625,0.07518518518518517,0.09384,0.3206997084548105,train
global_181,0.23925390625,0.025185185185185185,0.12384,1.749271137026239,train
global_182,0.58875390625,0.055185185185185184,0.00984,3.177842565597668,train
global_183,0.41400390625000005,0.08518518518518517,0.03984,4.606413994169096,train
global_184,0.13003515625,0.038518518518518514,0.09984000000000001,7.463556851311953,train
global_185,0.4795351562500001,0.06851851851851852,0.12984,8.892128279883382,train
global_186,0.30478515625,0.018518518518518517,0.01584,0.5247813411078717,train
global_187,0.65428515625,0.0485185185185185,0.045840000000000006,1.9533527696793,train
global_188,0.21741015625000001,0.0785185185185185,0.07584,3.3819241982507284,train
global_189,0.5669101562500001,0.028518518518518516,0.10584,4.810495626822157,train
global_190,0.39216015625,0.05851851851851851,0.13584000000000002,6.239067055393585,train
global_191,0.17372265625,0.0029629629629629632,0.051840000000000004,9.096209912536443,train
global_192,0.5232226562500001,0.032962962962962965,0.08184000000000001,0.728862973760933,train
global_193,0.34847265625,0.06296296296296296,0.11184000000000001,2.1574344023323615,train
global_194,0.69797265625,0.01296296296296296,0.14184000000000002,3.5860058309037903,test
global_195,0.26109765625000003,0.04296296296296296,0.027839999999999997,5.014577259475218,test
global_196,0.6105976562500001,0.07296296296296295,0.057839999999999996,6.443148688046646,train
global_197,0.43584765625,0.022962962962962963,0.08784000000000002,7.871720116618075,train
global_198,0.11911328125000001,0.08296296296296295,0.14784000000000003,0.9329446064139941,train
global_199,0.46861328125,0.006296296296296296,0.005039999999999999,2.3615160349854225,train
global_200,0.29386328125000005,0.03629629629629629,0.03504,3.790087463556851,train
global_201,0.64336328125,0.0662962962962963,0.06504,5.218658892128279,validation
global_202,0.20648828125000002,0.016296296296296295,0.09504,6.647230320699707,validation
global_203,0.55598828125,0.046296296296296294,0.12504,8.075801749271136,validation
global_204,0.38123828125000003,0.07629629629629628,0.011040000000000001,9.504373177842565,train
global_205,0.7307382812500001,0.026296296296296297,0.04104,1.1370262390670556,train
global_206,0.16280078125000003,0.05629629629629629,0.07103999999999999,2.565597667638484,train
global_207,0.51230078125,0.08629629629629627,0.10104,3.9941690962099123,train
global_208,0.33755078125000004,0.009629629629629629,0.13104000000000002,5.422740524781339,train
global_209,0.6870507812500001,0.039629629629629626,0.01704,6.851311953352769,train
global_210,0.25017578125,0.06962962962962962,0.047040000000000005,8.279883381924197,validation
global_211,0.42492578125,0.04962962962962962,0.10704,1.3411078717201166,train
global_212,0.14095703125,0.029629629629629627,0.023039999999999998,4.198250728862974,train
global_213,0.49045703125000006,0.05962962962962962,0.05304,5.626822157434401,train
global_214,0.31570703125,0.08962962962962961,0.08304000000000002,7.05539358600583,train
global_215,0.22833203125,0.030123456790123456,0.14304,9.912536443148687,validation
global_216,0.57783203125,0.060123456790123445,0.029039999999999996,0.14577259475218657,train
