time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source,anchor_temperature_c
2820.0,3.4218680915703357,3.4218680915703357,3.4218680915703357,3.4218680915703357,False,False,False,9.17e-05,0.7170284513312534,4.1383966765492595,23.690271028806478,chen2020_dfn,15.0
2825.0,3.420049978824234,3.420049978824234,3.420049978824234,3.420049978824234,False,False,False,8.42e-05,0.7179784652142601,4.139420956152347,23.685847054417025,chen2020_dfn,15.0
2830.0,3.418232552334506,3.418232552334506,3.418232552334506,3.418232552334506,False,False,False,8.800000000000001e-05,0.7189279742565754,4.140444079101332,23.68138799882172,chen2020_dfn,15.0
2835.0,3.4164156260548237,3.4164156260548237,3.4164156260548237,3.4164156260548237,False,False,False,9.010000000000001e-05,0.7198769785971461,4.141465803480469,23.676894186585116,chen2020_dfn,15.0
2840.0,3.414598997656281,3.414598997656281,3.414598997656281,3.414598997656281,False,False,False,8.800000000000001e-05,0.7208254783187172,4.142485883784966,23.672365982850124,chen2020_dfn,15.0
2845.0,3.412782449209384,3.412782449209384,3.412782449209384,3.412782449209384,False,False,False,9e-05,0.7217734734434976,4.143504071746586,23.667803792591542,chen2020_dfn,15.0
2850.0,3.410965748002842,3.410965748002842,3.410965748002842,3.410965748002842,False,False,False,8.290000000000001e-05,0.7227209639290539,4.14452011717129,23.663208059591454,chen2020_dfn,15.0
2855.0,3.409148647490608,3.409148647490608,3.409148647490608,3.409148647490608,False,False,False,8.78e-05,0.723667949664468,4.14553376877824,23.65857926514508,chen2020_dfn,15.0
2860.0,3.407330888357356,3.407330888357356,3.407330888357356,3.407330888357356,False,False,False,8.7e-05,0.7246144304667895,4.146544775032181,23.653917926512293,chen2020_dfn,15.0
2865.0,3.4055121996892743,3.4055121996892743,3.4055121996892743,3.4055121996892743,False,False,False,8.970000000000001e-05,0.7255604060778144,4.147552884953107,23.649224595130534,chen2020_dfn,15.0
2870.0,3.403692300237155,3.403692300237155,3.403692300237155,3.403692300237155,False,False,False,9.010000000000001e-05,0.7265058761612134,4.148557848903627,23.644499854613798,chen2020_dfn,15.0
2875.0,3.4018708997542566,3.4018708997542566,3.4018708997542566,3.4018708997542566,False,False,False,0.00010640000000000001,0.7274508403000342,4.149559419330201,23.63974431855746,chen2020_dfn,15.0
2880.0,3.4000477003948255,3.4000477003948255,3.4000477003948255,3.4000477003948255,False,False,False,9.010000000000001e-05,0.7283952979945882,4.1505573514691125,23.634958628179675,chen2020_dfn,15.0
2885.0,3.3982223981535418,3.3982223981535418,3.3982223981535418,3.3982223981535418,False,False,False,9.130000000000001e-05,0.7293392486607421,4.151551403988998,23.63014344982173,chen2020_dfn,15.0
2890.0,3.396394684331671,3.396394684331671,3.396394684331671,3.396394684331671,False,False,False,9.130000000000001e-05,0.7302826916286119,4.15254133958798,23.625299472341567,chen2020_dfn,15.0
2895.0,3.394564247009695,3.394564247009695,3.394564247009695,3.394564247009695,False,False,False,9.010000000000001e-05,0.7312256261416702,4.153526925520667,23.62042740442496,chen2020_dfn,15.0
2900.0,3.3927307725124556,3.3927307725124556,3.3927307725124556,3.3927307725124556,False,False,False,9.1e-05,0.732168051356257,4.1545079340671975,23.61552797184686,chen2020_dfn,15.0
2905.0,3.3908939468489754,3.3908939468489754,3.3908939468489754,3.3908939468489754,False,False,False,0.00010240000000000001,0.7331099663414928,4.155484142936805,23.610601914708013,chen2020_dfn,15.0
2910.0,3.3890534571141346,3.3890534571141346,3.3890534571141346,3.3890534571141346,False,False,False,8.53e-05,0.73405137007958,4.156455335604852,23.605649984675722,chen2020_dfn,15.0
2915.0,3.387208992837687,3.387208992837687,3.387208992837687,3.387208992837687,False,False,False,9.94e-05,0.7349922614664794,4.157421301588095,23.600672942253368,chen2020_dfn,15.0
2920.0,3.385360247269362,3.385360247269362,3.385360247269362,3.385360247269362,False,False,False,0.0001034,0.7359326393129432,4.158381836659677,23.595671554101784,chen2020_dfn,15.0
2925.0,3.3544988869044507,3.383506918589933,3.383506918589933,3.3544988869044507,True,False,False,8.580000000000001e-05,0.7368644445593057,4.15860716898287,23.58998487968762,chen2020_dfn,15.0
2930.0,3.3221664424490687,3.3837456235771857,3.3837456235771857,3.3221664424490687,True,False,False,9.230000000000001e-05,0.737787268571097,4.158699178098234,23.58357611039662,chen2020_dfn,15.0
2935.0,3.2924567810753094,3.3834988659602763,3.3834988659602763,3.2924567810753094,True,False,False,8.800000000000001e-05,0.7387018398991735,4.1587777593486095,23.57650260468307,chen2020_dfn,15.0
2940.0,3.264672773011169,3.382868309332171,3.382868309332171,3.264672773011169,True,False,False,9.130000000000001e-05,0.7396086934472322,4.158845885097188,23.568808266464544,chen2020_dfn,15.0
2945.0,3.2383402476783143,3.382200119473447,3.382200119473447,3.2383402476783143,True,False,False,8.89e-05,0.7405082324049206,4.1589050340430935,23.560527987716796,chen2020_dfn,15.0
2950.0,3.2131347684141964,3.3817054183480355,3.3817054183480355,3.2131347684141964,True,False,False,8.53e-05,0.7414007698405912,4.158956147619595,23.551690530256565,chen2020_dfn,15.0
2955.0,3.1888325530975257,3.3815100452601023,3.3815100452601023,3.1888325530975257,True,False,False,9.640000000000001e-05,0.7422865566608963,4.1590000000362215,23.54232044132158,chen2020_dfn,15.0
2960.0,3.165277574702935,3.3816858475853007,3.3816858475853007,3.165277574702935,True,False,False,9.410000000000001e-05,0.7431658004316471,4.159037316525502,23.532439322676623,chen2020_dfn,15.0
2965.0,3.1423595018527952,3.382270349280792,3.382270349280792,3.1423595018527952,True,False,False,9.510000000000001e-05,0.744038678071051,4.159068797096442,23.52206666978816,chen2020_dfn,15.0
2970.0,3.119998904223412,3.3832791306962458,3.3832791306962458,3.119998904223412,True,False,False,8.72e-05,0.7449053444333352,4.159095109466475,23.511220426406055,chen2020_dfn,15.0
2975.0,3.0981373257046685,3.384713648345225,3.384713648345225,3.0981373257046685,True,False,False,8.39e-05,0.7457659381349199,4.1591168759355375,23.499917351427257,chen2020_dfn,15.0
2980.0,3.0767306187129027,3.38656620300363,3.38656620300363,3.0767306187129027,True,False,False,8.44e-05,0.7466205855290069,4.159134662821698,23.488173262337227,chen2020_dfn,15.0
2985.0,3.0557444665548985,3.388823121462446,3.388823121462446,3.0557444665548985,True,False,False,8.5e-05,0.7474694034363832,4.1591489746260795,23.47600319784766,chen2020_dfn,15.0
2990.0,3.0351513696355403,3.391466815665466,3.391466815665466,3.0351513696355403,True,False,False,8.37e-05,0.7483125010390597,4.159160252493451,23.463421527795845,chen2020_dfn,15.0
2995.0,3.0149286155604607,3.394477131948203,3.394477131948203,3.0149286155604607,True,False,False,8.620000000000001e-05,0.7491499812100488,4.159168875975649,23.450442028818202,chen2020_dfn,15.0
3000.0,2.9950569073491797,3.39783224876208,3.39783224876208,2.9950569073491797,True,False,False,9.05e-05,0.7499819414620903,4.159175166924991,23.43707793789349,chen2020_dfn,15.0
3005.0,2.97551943401823,3.401509284291843,3.401509284291843,2.97551943401823,True,False,False,8.230000000000001e-05,0.7508084746382064,4.159179394621394,23.423341991660152,chen2020_dfn,15.0
3010.0,2.956301237859198,3.4054847161493926,3.4054847161493926,2.956301237859198,True,False,False,8.92e-05,0.7516296694265006,4.1591817814508225,23.40924645662625,chen2020_dfn,15.0
3015.0,2.9373887811553256,3.4097346779488387,3.4097346779488387,2.9373887811553256,True,False,False,9.740000000000001e-05,0.7524456107545993,4.159182508655918,23.394803153570763,chen2020_dfn,15.0
3020.0,2.91876964648233,3.414235174420827,3.414235174420827,2.91876964648233,True,False,False,9.03e-05,0.7532563801008445,4.159181721862147,23.38002347822959,chen2020_dfn,15.0
3025.0,2.900432327799663,3.4189622419709655,3.4189622419709655,2.900432327799663,True,False,False,9.72e-05,0.7540620557474556,4.159179536209554,23.36491841959952,chen2020_dfn,15.0
3030.0,2.8823660823243005,3.4238920726424613,3.4238920726424613,2.8823660823243005,True,False,False,8.38e-05,0.7548627129925458,4.159176041009451,23.349498576685335,chen2020_dfn,15.0
3035.0,2.864560823190393,3.42900111317464,3.42900111317464,2.864560823190393,True,False,False,0.0001011,0.7556584243323209,4.159171303865294,23.33377417417796,chen2020_dfn,15.0
3040.0,2.8470070409912873,3.434266147044535,3.434266147044535,2.8470070409912873,True,False,False,8.36e-05,0.7564492596214852,4.159165374312556,23.317755077382174,chen2020_dfn,15.0
3045.0,2.829695743409104,3.4396643651926113,3.4396643651926113,2.829695743409104,True,False,False,0.00010680000000000001,0.7572352862168766,4.159158286953641,23.301450806541254,chen2020_dfn,15.0
3050.0,2.8126184087746418,3.44517342869984,3.44517342869984,2.8126184087746418,True,False,False,0.000115,0.7580165691082029,4.159150064171472,23.284870550667392,chen2020_dfn,15.0
3055.0,2.7957669488094035,3.450771526324092,3.450771526324092,2.7957669488094035,True,False,False,9.010000000000001e-05,0.7587931710384278,4.159140718449423,23.268023180922967,chen2020_dfn,15.0
3060.0,2.7791336771931476,3.456437428411549,3.456437428411549,2.7791336771931476,True,False,False,8.48e-05,0.7595651526154259,4.159130254329444,23.250917263560382,chen2020_dfn,15.0
3065.0,2.7627112833283904,3.4621505380962105,3.4621505380962105,2.7627112833283904,True,False,False,8.630000000000001e-05,0.7603325724163505,4.159118670078142,23.233561072440125,chen2020_dfn,15.0
3070.0,2.746492809397994,3.467890940687372,3.467890940687372,2.746492809397994,True,False,False,8.43e-05,0.7610954870856278,4.159105959088598,23.215962601119315,chen2020_dfn,15.0
3075.0,2.730471629658725,3.4736394513899103,3.4736394513899103,2.730471629658725,True,False,False,8.42e-05,0.7618539514271997,4.1590921110442505,23.19812957450864,chen2020_dfn,15.0
3080.0,2.7146414319805423,3.4793776613451683,3.4793776613451683,2.7146414319805423,True,False,False,8.630000000000001e-05,0.7626080184916387,4.159077112902878,23.180069460097116,chen2020_dfn,15.0
3085.0,2.6989962013329603,3.485087981984721,3.485087981984721,2.6989962013329603,True,False,False,8.48e-05,0.7633577396586757,4.1590637222046025,23.161794222798846,chen2020_dfn,15.0
3090.0,2.683530203067174,3.490751524178748,3.490751524178748,2.683530203067174,True,False,False,8.76e-05,0.7641031647150832,4.159048381193529,23.143306519360408,chen2020_dfn,15.0
3095.0,2.668237969486165,3.4963544552601404,3.4963544552601404,2.668237969486165,True,False,False,0.00011030000000000001,0.7648443419288293,4.1590313750992856,23.124613029549494,chen2020_dfn,15.0
3100.0,2.65311428512575,3.5018819288187366,3.5018819288187366,2.65311428512575,True,False,False,9.740000000000001e-05,0.7655813181191419,4.1590128304773115,23.105720236185107,chen2020_dfn,15.0
3105.0,2.6381541745321244,3.507320062053397,3.507320062053397,2.6381541745321244,True,False,False,9.67e-05,0.7663141387231786,4.158992815240661,23.0866344258078,chen2020_dfn,15.0
3110.0,2.6233528898945675,3.512655969703168,3.512655969703168,2.6233528898945675,True,False,False,8.630000000000001e-05,0.7670428478592602,4.158971368374392,23.067361694308488,chen2020_dfn,15.0
