scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller_declared_complete,true_target_acceptable,completion_success,physical_safe,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,material_intervention_fraction,mean_filter_correction_a
lhs_035,latin_hypercube,0.2705045723940097,29.886330079519823,0.9785021809011556,0.9600968963556864,0.9128218164156264,0.8769413442815674,1.1527803142822715,0.961617156643831,0.002011781778924024,0.3636927158264831,-0.004647426050169529,0.0018833185746872805,1.0,False,False,False,False,60.0,0.7167874419257344,-0.08321255807426564,4.061288379537909,33.41265868047779,7.946100959139783,6.154597062068593,0.4027777777777778,1.0746493551460623
lhs_036,latin_hypercube,0.24464093445978832,18.742010952784774,0.9093060723947226,0.8544688546217905,0.861257930924231,1.0727994757583854,0.9863871997599026,1.0869829167790785,0.00021759917220082192,-0.3471055391407477,0.002970658941188117,-0.0011039304447757977,1.0,True,True,True,True,41.5,0.799197413021832,-0.0008025869781680406,4.132088698594574,25.05099667743653,5.541566223233222,2.0,0.09437751004016064,0.07348091563455149
lhs_037,latin_hypercube,0.2888756631624042,24.101700334672053,0.9342574956315631,1.1177883599323604,1.038084292016866,0.9976284366736257,0.8666459903852725,1.0819097750939923,0.0030048478116291707,-0.4678969323937866,-0.0024049690055079464,-0.0009694117114472231,1.0,True,True,True,True,50.666666666666664,0.7978310279215519,-0.002168972078448128,4.150267115937313,29.999043822662333,8.172536193722676,2.0,0.12335526315789473,0.08216187532128477
lhs_038,latin_hypercube,0.10083823980563528,17.808809433140873,1.032348401300098,1.1762929665357258,1.0626842720953384,0.8528982542831697,1.0906390434377686,0.9029656316218245,0.00014050939410297988,0.03614836638831831,-0.0011926948396495819,0.00023467807237761984,1.0,False,False,False,True,60.0,0.7665537358189968,-0.03344626418100327,4.155436915503916,27.185398440901636,7.732569952062587,2.0,0.05138888888888889,0.02157750513131276
lhs_039,latin_hypercube,0.29982923994875277,20.420473664676884,1.0041266125006383,1.0353982361978695,0.9880525666890618,0.880338978964447,0.8189723692673428,1.0527604514833169,-0.0025813430045762897,-0.03649198937974568,0.0001318330410800062,0.0001467229296856394,1.0,True,True,True,True,46.416666666666664,0.8037519682036472,0.0037519682036472046,4.150568479218172,26.203650063311088,8.315543317464615,2.0,0.11310592459605028,0.05079011067025705
lhs_040,latin_hypercube,0.19385485073064568,20.766846088821573,0.9858810857286487,0.974989260979851,0.8202346980955096,0.9751416508210045,0.9636435530623025,0.9848708362980287,0.003852290520100737,0.3926681862418764,-0.0032033076562354035,-0.004353164621524103,1.0,False,True,False,True,60.0,0.789798995207625,-0.010201004792375068,4.14343655670448,25.344331036039826,8.108152563277077,2.0,0.013888888888888888,0.004390469084987837
lhs_041,latin_hypercube,0.2136426153636317,15.248252998446368,1.049555902733748,1.0179636328459298,1.0058497827924013,0.8972967093567532,0.9621334953977513,1.0105401718543168,0.0004068252866249568,0.4525401664659965,-0.00017919198270108846,-0.003065472577432946,1.0,True,True,True,True,48.083333333333336,0.7991176580534195,-0.0008823419465805449,4.14759234270588,23.666929553181447,5.9225179554166125,2.0,0.18024263431542462,0.16763670299961617
lhs_042,latin_hypercube,0.22258900582116253,22.259202904227294,0.9139207374622382,1.0410199474286659,0.832270007652078,0.9511210709817158,1.1050661824938994,0.9922455305991984,-0.00431400276439232,-0.04891743471273724,-0.004063006748042325,-0.0027577797080058364,1.0,True,True,True,True,57.583333333333336,0.8013814869594087,0.001381486959408651,4.151556615712908,27.023844098663314,8.299706488853854,2.0,0.024602026049204053,0.006184951729564051
lhs_043,latin_hypercube,0.1398099264725791,19.807684419610055,0.9974226152565827,1.196623503130465,1.1471555731890692,1.0672923679224096,1.1649303235750552,0.9204046566343251,0.0004723413853804856,0.38946226149063956,0.003906873276211294,-0.0004597639875237279,1.0,True,True,True,True,59.083333333333336,0.7995588079953967,-0.0004411920046033524,4.155898759793636,29.39716736555444,8.46211206441539,2.0,0.10155148095909731,0.1072164449481068
lhs_044,latin_hypercube,0.2910427589372192,27.545208176327918,1.098690434273123,1.1624347532662584,1.0262262539141815,0.9898558538745219,1.0544518559976899,1.031174329458659,-0.003375115219281966,0.21661450723721265,-9.46387280083491e-05,-0.001701132876095409,1.0,False,True,False,False,60.0,0.7858567576942493,-0.014143242305750703,4.161195825286905,33.6289114843538,8.15216982810811,6.430431379199396,0.4513888888888889,0.9571314421100068
